request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_with_plan,installments,2025-08-03:15656000,2025-08-03,none,"Use 1 installments of IDR 15,656,000.00, starting 2025-08-03. This leaves at least IDR 24,768,300 available."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670.00 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,108.92,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the EUR 1,100 minimum balance protected over the next 90 days."
request_29,51524.0,affordable_with_plan,installments,2025-11-04:51524,2025-11-04,none,"Use 1 installments of ZAR 51,524.00, starting 2025-11-04. This leaves at least ZAR 28,300 available."
request_30,775.2,affordable_with_plan,installments,2026-04-06:775.20,2026-04-06,none,"Use 1 installments of USD 775.20, starting 2026-04-06. This leaves at least USD 900 available."
request_31,5948819.36,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Pay IDR 18,164,000.00 in full on 2024-10-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,19701.26,affordable_later,wait,2025-03-15:40018,2025-03-15,none,"Pay ZAR 40,018.00 in full on 2025-03-15. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,51670.24,affordable_later,wait,2026-01-15:118000,2026-01-15,none,"Pay INR 118,000.00 in full on 2026-01-15. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400.00 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,56578.66,affordable_later,wait,2025-12-15:212000,2025-12-15,none,"Pay INR 212,000.00 in full on 2025-12-15. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,921.23,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954.00 in full on 2026-09-15. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 17,056,200 minimum balance protected over the next 90 days."
request_38,225.42,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Pay EUR 971.30 in full on 2025-09-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 213,400 minimum balance protected over the next 90 days."
request_40,540.0,affordable_later,wait,2024-07-15:1290.30,2024-07-15,none,"Pay EUR 1,290.30 in full on 2024-07-15. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 25,366,600 minimum balance protected over the next 90 days."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100.00 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,9868266.98,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Pay IDR 43,339,000.00 in full on 2024-10-15. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,50160.0,affordable_later,wait,2025-03-15:95800,2025-03-15,none,"Pay INR 95,800.00 in full on 2025-03-15. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,5270814.54,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000.00 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:49450,2024-12-03,none,"Use 1 installments of INR 49,450.00, starting 2024-12-03. This leaves at least INR 84,000 available."
request_47,38114000.0,affordable_with_plan,installments,2025-05-05:38114000,2025-05-05,none,"Use 1 installments of IDR 38,114,000.00, starting 2025-05-05. This leaves at least IDR 30,049,000 available."
request_48,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 71,300 minimum balance protected over the next 90 days."
request_49,15786210.35,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. This leaves at least IDR 20,275,700 available."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900.00 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_with_plan,installments,2026-01-03:2191000,2026-01-03,none,"Use 1 installments of IDR 2,191,000.00, starting 2026-01-03. This leaves at least IDR 7,811,000 available."
request_52,21927.86,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870.00 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,100 available."
request_54,6458.84,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 37,000 minimum balance protected over the next 90 days."
request_55,154596.19,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11. This leaves at least INR 124,300 available."
request_56,777.1,affordable_with_plan,partial_payment,2025-02-03:777.10|2025-02-15:104.46,2025-02-15,none,Pay USD 777.10 today and the remaining balance on 2025-02-15. This completes the full request safely by the deadline.
request_57,16640.57,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Pay ZAR 61,446.00 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000.00 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-04:140600,2025-05-04,none,"Use 1 installments of INR 140,600.00, starting 2025-05-04. This leaves at least INR 132,600 available."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 400 available over the next 90 days.
request_61,29062.0,affordable_with_plan,installments,2024-03-03:29062,2024-03-03,none,"Use 1 installments of ZAR 29,062.00, starting 2024-03-03. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 153,500 minimum balance protected over the next 90 days."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 36,100 minimum balance protected over the next 90 days."
request_65,7114.42,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 15,500 minimum balance protected over the next 90 days."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200.00 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,608.7,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094.00 in full on 2024-10-15. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1688.58,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1,500 available."
request_69,529.1,affordable_with_plan,installments,2026-01-04:529.10,2026-01-04,none,"Use 1 installments of EUR 529.10, starting 2026-01-04. This leaves at least EUR 700 available."
request_70,59952.21,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 115,000 minimum balance protected over the next 90 days."
request_71,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 8,884,800 minimum balance protected over the next 90 days."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330.00 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400.0,affordable_with_plan,installments,2023-01-20:71400,2023-01-20,none,"Use 1 installments of INR 71,400.00, starting 2023-01-20. This leaves at least INR 103,200 available."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010.00 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270.0,affordable_with_plan,installments,2026-04-06:28270,2026-04-06,none,"Use 1 installments of ZAR 28,270.00, starting 2026-04-06. This leaves at least ZAR 39,000 available."
request_76,1117.02,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the USD 1,800 minimum balance protected over the next 90 days."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700.00 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200.00 today. This leaves at least INR 55,200 available over the next 90 days."
request_79,524.48,not_affordable,not_recommended,none,2024-11-15,none,"Do not proceed with this expense. None of the available options keeps the EUR 1,000 minimum balance protected over the next 90 days."
request_80,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 121,300 minimum balance protected over the next 90 days."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076.00 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,225.88,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the USD 1,100 minimum balance protected over the next 90 days."
request_83,9740.32,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 37,800 minimum balance protected over the next 90 days."
request_84,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 91,300 minimum balance protected over the next 90 days."
request_85,1270712.29,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 6,396,300 minimum balance protected over the next 90 days."
request_86,46300.0,affordable_with_plan,installments,2025-08-03:46300,2025-08-03,none,"Use 1 installments of INR 46,300.00, starting 2025-08-03. This leaves at least INR 84,900 available."
request_87,59500.09,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 185,900 minimum balance protected over the next 90 days."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-08-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This leaves at least ZAR 25,800 available."
request_89,11578619.51,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18. This leaves at least IDR 12,534,700 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560.00 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,1009.4,affordable_later,wait,2024-09-15:1927.20,2024-09-15,none,"Pay EUR 1,927.20 in full on 2024-09-15. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,20384.43,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 28,100 minimum balance protected over the next 90 days."
request_93,1729.2,affordable_with_plan,installments,2026-04-07:1729.20,2026-04-07,none,"Use 1 installments of USD 1,729.20, starting 2026-04-07. This leaves at least USD 1,900 available."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572.00 today. This leaves at least EUR 600 available over the next 90 days.
request_95,46285.12,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 145,500 minimum balance protected over the next 90 days."
request_96,84764.35,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10. This leaves at least INR 56,500 available."
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This leaves at least ZAR 29,700 available."
request_98,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 30,000 minimum balance protected over the next 90 days."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062.00 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,31359.03,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. This leaves at least ZAR 32,500 available."
request_101,143500.0,affordable_with_plan,installments,2025-11-03:143500,2025-11-03,none,"Use 1 installments of INR 143,500.00, starting 2025-11-03. This leaves at least INR 187,400 available."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:1716,2026-04-05,none,"Use 1 installments of EUR 1,716.00, starting 2026-04-05. This leaves at least EUR 900 available."
